振幅测量值,振幅理论值,周期长,总时长
6,14.50,1.6757,1.6757
18,26.07,1.5752,3.2509
29,35.90,1.5707,4.8216
38,44.28,1.5693,6.3909
46,51.43,1.5686,7.9595
53,57.53,1.5683,9.5278
59,62.74,1.5680,11.0958
64,67.18,1.5678,12.6636
69,70.96,1.5676,14.2312
72,74.19,1.5675,15.7987
75,76.95,1.5674,17.3661
78,79.31,1.5673,18.9334
80,81.31,1.5672,20.5006
83,83.03,1.5672,22.0678
84,84.49,1.5672,23.6350
86,85.74,1.5672,25.2022
87,86.80,1.5672,26.7694
88,87.71,1.5672,28.3366
89,88.49,1.5672,29.9038
90,89.15,1.5672,31.4710
91,89.71,1.5672,33.0382
91,90.20,1.5672,34.6054
92,90.61,1.5672,36.1726
92,90.96,1.5673,37.7399
93,91.26,1.5673,39.3072
93,91.51,1.5673,40.8745
93,91.73,1.5673,42.4418